Model,Segment,Text
OnePlus 3T,Software,"But what really sets apart OxygenOS is its customization options. It offers a built-in manager for themes, custom app icon support, rearrangeable buttons, and different accents and colors for the Settings menu and status bar, including a spiffy-looking dark theme. You can also lock individual apps and require a password or fingerprint verification to unlock them, useful for sensitive selfies. Gesture support is also on board, allowing you to double tap to wake, draw on the screen to open the flashlight and use a three finger swipe to take a screenshot."
OnePlus 3T,Software,"Bloatware is minimal. Swiftkey is integrated as one of the available keyboards (the other is Google's), but the phone asks permission before enabling either. Aside from that, there's a File Manager, Weather app, and Voice Recorder, all of which I found useful. Out of a total of 128GB of storage, 13GB is occupied by the OS and UI, leaving you with 115GB free. It's an ample amount of space, making up for the lack of expandable storage."
OnePlus 3T,Conclusions,"OnePlus has come a long way since the invite only days of the OnePlus One and OnePlus 2 ($299.00 at Plusnet Mobile) . At $440 the OnePlus 3T is the most expensive phone the company has ever made, but it's also the fastest. The smooth performance combined with long-lasting battery life, an improved front camera, and clean and customizable UI make it an excellent choice. However, depending on storage capacity, the ZTE Axon 7 is $40 to $80 less, while offering largely similar performance with a higher-resolution screen, thundering front-facing speakers, and high-quality audio."
OnePlus 3T,Conclusions,"The Google Pixel XL retains its Editors' Choice status for its excellent camera, unbeatable voice assistant, 24/7 live support, and a guarantee of reliable Android updates. But if some of those aspects aren't important to you, then the 3T could be a compelling option, costing nearly half as much with slightly better performance and a much longer battery life."
OnePlus 5,Introduction,"You might be asking yourself, what happened to the OnePlus 4? Worry not, you didn't take a nap and wake up in 2018. The unlocked OnePlus 5 ($479, 64GB/6GB RAM) is the successor to the OnePlus 3T—OnePlus is a Chinese company, and the number 4 is considered unlucky in China, so it is often skipped. You still get many of the same benefits with the OnePlus 5 as you do with other OnePlus phones, including a powerful processor, loads of RAM, solid camera performance, and excellent battery life. But the price point has increased, so the phone doesn't represent quite the same value proposition as earlier models. That said, it's a compelling alternative to expensive flagships like the Samsung Galaxy S8."
OnePlus 5,Design and Physical Features,"Let's get the obvious out of the way. Yes, the OnePlus 5 resembles the iPhone 7 Plus, but so do most phones with dual rear cameras. There's really only so many places you can put things when you're working with a rectangular metal slab, and OnePlus manages to nail the familiar design elements in a classy manner."
OnePlus 5,Design and Physical Features,"Available in Midnight Black (pictured) and Slate Gray, the OnePlus 5 has a sleek metal unibody design that's free from antenna lines. It's smooth and a bit slippery to the touch, but doesn't pick up fingerprints."
OnePlus 5,Design and Physical Features,"The phone measures 6.1 by 2.9 by 0.3 inches (HWD) and tips the scales at a modest 5.4 ounces. It's the slimmest and lightest phone we've seen from the company, weighing just less than the bezel-free Samsung Galaxy S8 (5.9 by 2.7 by 0.3 inches, 5.5 ounces). It's substantially lighter in your pocket than the HTC U11 (6.1 by 3.0 by 0.3 inches, 6.0 ounces) and the ZTE Axon 7 (6.0 by 2.9 by 0.3 inches, 6.2 ounces). I didn't have much difficulty using it with one hand, as a thin bezel makes it easy to reach across."
OnePlus 5,Design and Physical Features,"The right side of the phone holds dual SIM card slots and a power button that launches the camera app when you press it twice. The bottom has a 3.5mm headphone jack, a USB-C charging port, and a modestly loud bottom-firing mono speaker. The left side has a useful alert slider to switch between Ring, Silent, and Do Not Disturb modes."
OnePlus 5,Design and Physical Features,"The fingerprint scanner is below the display—it doubles as a capacitive home button, and is flanked by back and recent buttons. Each button is programmable, with alternate functions available to launch a voice assistant, enable Split Screen mode, or open the notification center. Each button can have a different function enabled for a long press or a double tap. Other customization options include swapping the order of the buttons, or turning them off entirely in favor of an on-screen navigation bar."
OnePlus 5,Design and Physical Features,"One design element to keep in mind is that the OnePlus 5 isn't waterproof, unlike most current flagship phones, so you'll want to keep it dry. Though, according to OnePlus, it should be able to handle the occasional splash."
OnePlus 5,Display,"The display is a 5.5-inch 1,920-by-1,080 AMOLED panel covered in a protective layer of Gorilla Glass 5 that curves to meet the edges. This is the same resolution as the previous model, which is a bit disappointing considering the $400 Axon 7 has a Quad HD panel. Still, it's sharp for the size, with 401 pixels packed into every inch, the same as the iPhone 7 Plus. It just isn't quite as crisp as the Axon 7 (538ppi) or the Galaxy S8 (570ppi)."
OnePlus 5,Display,"The screen does have its strong points, though. The AMOLED panel gives you rich, saturated colors and inky blacks. It gets very bright and I had no difficulty using the phone outdoors in direct sunlight. Color temperature can be customized, with accurate reproduction in the default mode, but options to make it warmer or cooler, and a Night mode that kicks in to help your eyes in the late hours and a Reading mode that sets everything to grayscale. If you're concerned about battery life, you can enable the Dark theme that sets all menu backgrounds to black and saves power by only lighting the pixels you need."
OnePlus 5,Network Performance and Connectivity,"As with every OnePlus phone, the 5 only works on GSM carriers like AT&T and T-Mobile. It supports GSM (850/900/1800/1900MHz), UMTS (1/2/4/5/8), and LTE bands (1/2/3/4/5/7/8/12/17/18/19/20/25/26/28/29/30/34/39/40/41/66). Both US and international versions get the same set of bands, which is useful if you plan on traveling. Because of its Snapdragon 835 processor, the OnePlus 5 comes with an X16 modem, but it's capped at Cat 12 LTE down (600Mbps) and Cat 13 LTE up (150Mbps)."
OnePlus 5,Network Performance and Connectivity,"That means you won't get gigabit speeds (Cat 16) once those networks are up and running. It's not a big deal right now since no carrier has a gigabit network outside of certain test cities, but if you're planning to keep the phone for a couple of years, you won't enjoy faster speeds as they roll out nationally."
OnePlus 5,Network Performance and Connectivity,"That said, network connectivity is only going to be as good as your carrier. In heavily congested midtown Manhattan, I got crawling single digit download speeds on AT&T, which was in line with the Galaxy S8 I was testing at the same time."
OnePlus 5,Network Performance and Connectivity,"Other connectivity protocols supported are NFC, so you can use Android Pay, dual-band Wi-Fi (2.4GHz/5GHz), and Bluetooth 5.0, which pairs with multiple speakers or headphones and improves range, speed, and quality."
OnePlus 5,Network Performance and Connectivity,"Call quality was decent, but nothing to write home about. Earpiece volume is loud and noise cancellation blots out traffic and voices, but wind causes significant crackling. Voices are also on the robotic side."
OnePlus 5,Network Performance and Connectivity,"The phone doesn't support high-resolution audio like the Axon 7, but with wired headphones you do get a built-in audio tuner that provides fine balance controls with equalizer presets for different genres of music and enhancements for certain headphones like the OnePlus Bullets or JBL E1+. Those earphones aren't included, so I wasn't able to test this feature."
OnePlus 5,Processor and Battery,"As mentioned, the OnePlus 5 is powered a Qualcomm Snapdragon 835 processor, the same chipset in all current top-tier flagships. It's clocked at 2.45GHz, supports UFS 2.1 flash storage, and comes with either 6GB or 8GB of LPDDR4X RAM (the 8GB model, with 128GB of storage, costs $539). Simply put, it's one of the fastest Android phones we've ever tested."
OnePlus 5,Processor and Battery,"On the AnTuTu benchmark (which only recognized 4GB of RAM as usable) it scored 184,249, surpassing flagships like the U11(175,241) and S8 (158,266) due to the less-demanding 1080p display. On Geekbench, the OnePlus 5 scored 1,971 single-core and 6,764 multi-core, once again outperforming the U11 (1,913/6,538) and S8 (1,836/5,960)."
OnePlus 5,Processor and Battery,"It should go without saying that real-world performance is incredibly smooth. Whether it's multitasking, demanding games like Modern Combat and GTA: San Andreas, or twenty open tabs in Chrome, nothing causes the OnePlus 5 to skip a beat. You likely won't ever need 8GB of RAM, so the 6GB model should be plenty if you want to save some money."
OnePlus 5,Processor and Battery,"Battery life is excellent. The phone clocked 9 hours, 15 minutes when we streamed full-screen video over LTE at maximum screen brightness. That's not quite as long as the OnePlus 3T, which lasted over 10 hours, but it's understandable because battery capacity has been reduced by 100mAh (to 3,300mAh) to accommodate the smaller form factor. The OnePlus 5 is still one of the longest-lasting phones we've tested this year, surpassing the S8 (5 hours, 45 minutes), LG G6 (5 hours, 57 minutes), and U11 (7 hours, 1 minute). Proprietary fast charging juices up the phone to 50 percent in 30 minutes, and 100 percent in a little over an hour, matching Qualcomm Quick Charge 3.0."
OnePlus 5,Camera,"The OnePlus 5 has dual rear camera sensors that serve the same purpose as the ones on the iPhone 7 Plus and Asus ZenFone 3 Zoom. You have a 16-megapixel main sensor backed by a wide-angle lens, and a 20-megapixel sensor with a tighter field of view, delivering 1.6x optical zoom with software tweaks to achieve 2.0x lossless zoom. In well-lit conditions, the sensors produce sharp images with crisp details and accurate color reproduction."
OnePlus 5,Camera,"The 20MP telephoto camera maintains a high level of clarity when you zoom in. In the images below, you can see that shots from both lenses are equally sharp, sidestepping the image degradation you'd deal with by utilizing the digital zoom feature on a single-lens phone."
OnePlus 5,Camera,"The difference in zoom quality comes across most clearly between the OnePlus 5 and the Galaxy S8, with the OnePlus 5 showing the individual spines of the plant at the same zoom level."
OnePlus 5,Camera,"In a shootout with the Galaxy S8, the OnePlus 5 holds its own with pictures taken outdoors. In our comparison shots below, both phones capture sharp images outside, with a high degree of overall clarity and minimal noise. But the S8 wins with finer details. The brick work of buildings comes across more clearly, individual leaves are more defined, and objects in the distance are just a bit sharper."
OnePlus 5,Camera,"The contrast is more pronounced in low light. In a series of pictures taken indoors, the S8 pulled ahead with clearer, less blurry images. Because it has optical image stabilization (OIS), the S8 minimizes blur when shooting in dim conditions; the OnePlus 5 uses electronic image stabilization (EIS) to steady shots. The S8's autofocus system is also quicker in dim light."
OnePlus 5,Camera,"The OnePlus 5 can record 4K video at 30fps and 1080p at 60fps. Quality is good, but the lack of OIS comes into play, with video from the OnePlus showing more shake than you get with handheld footage from the Galaxy S8."
OnePlus 5,Camera,"The front-facing 16-megapixel camera delivers excellent image and video quality. Autofocus and autoexposure are both fast and responsive and pictures are crisp. Like the rear camera, the front camera has EIS, letting you take clear and stable 1080p video at 30fps. In low light, pictures sometimes have patches of noise, but you'll encounter the same with the S8."
OnePlus 5,Camera,"Like the S8, the OnePlus 5 has manual controls that let you tweak ISO, white balance, focus, shutter speed, and other settings. You can also shoot in Raw for higher-quality images that can be edited later."
OnePlus 5,Camera,"Overall, the S8 remains the top camera phone on the market right now, especially when it comes to low-light shooting, but the OnePlus 5 isnt too far behind, and quite impressive for the price."
OnePlus 5,Software,"The OnePlus 5 comes running Android 7.1.1 Nougat, the same version you get on the Google Pixel XL. It has OxygenOS on top, a lightweight skin with a design that keeps the clean appearance of stock Android, but adds some extra features. Swiping left from the home screen brings a custom widget screen that shows weather, memos, recent contacts, recently used apps, used storage, data, and battery life. You also have the option of adding additional widgets."
OnePlus 5,Software,"Other customization options include a built-in manager for themes, custom app icon support, rearrangeable buttons, and different accents and colors for the settings menu and status bar. You can also lock individual apps and require a password or fingerprint verification to unlock them. Gestures are supported, allowing you to double tap the phone to wake it, draw on the screen to launch different apps, and use a three-finger swipe to take a screenshot."
OnePlus 5,Software,"Bloatware is minimal. There's a few preinstalled apps, most of which can be deleted. Whether you opt for the 64GB or 128GB version, there's plenty of space for apps, photos, and video. That said, there is no microSD card slot, so storage isn't expandable."
OnePlus 5,Conclusions,"At $539 for the 128GB model and $479 for the 64GB model, the OnePlus 5 is the company's most costly phone yet. But then, in many aspects, you're getting many of the same features you find in phones that cost $200 to $300 more. The OnePlus 5 has the latest Snapdragon 835 processor with plenty of RAM, sharp cameras with optical zoom, and excellent battery life. But there are some caveats. Screen resolution is fine, but not up to par with the competition, there's no waterproofing or expandable storage, and the modem is capped to Cat 12 speeds."
OnePlus 5,Conclusions,"If you want to best of all worlds, the Samsung Galaxy S8 is our Editors' Choice, though it'll cost you a pretty penny more. If you want to save some money, the $400 ZTE Axon 7 remains a great choice. It has a Quad HD display, loud front-facing stereo speakers, high-resolution audio, and runs the latest version of Android. It has a slightly older Snapdragon 820 processor, but that might be a worthwhile trade-off if you prefer the sharper display. If you simply want the fastest performance possible for the best price, however, the OnePlus 5 is an excellent choice."
OnePlus 5T,Introduction,"The OnePlus 5T ($499 for 64GB; $559 for 128GB) is the best phone you can get for $500, but that's slicing the phone market pretty thinly. The latest from the cult unlocked smartphone maker is beautifully built and has the processor power and RAM of phones that cost $300 more. But its modem and main camera are thoroughly midrange, landing it in an awkward zone between less-expensive and more-capable devices on the US market."
OnePlus 5T,Introduction,"To properly understand the OnePlus 5T, you have to shake off its old ""flagship killer"" reputation. The 5T doesn't measure up to actual 2017 flagships like the Samsung Galaxy S8, Samsung Galaxy Note 8, or the iPhone X. Rather, this is a midrange-killer, assassinating devices like the Moto X4, the LG G6, the Essential PH-1, and the HTC U11 Life."
OnePlus 5T,Introduction,"The 5T comes hot on the heels of the OnePlus 5, in OnePlus's second year of a six-month cadence. (Last year, we saw the 3 and the 3T; there was no OnePlus 4.) It shares a processor and modem with the 5, but the screen is upgraded and the camera is changed."
OnePlus 5T,Introduction,"From Apple, you'd consider that an ""S"" release. OnePlus founder Pete Lau joked that S, plus one, is T, and so here we are. Don't assume that OnePlus will have a new phone every six months, he cautioned us. This one just has a screen that he couldn't pass up."
OnePlus 5T,Physical Design,"The OnePlus 5T is very well built. It has a very slim, matte black aluminum unibody, at 6.15 by 2.95 by 0.29 inches (HWD) and 5.7 ounces. It isn't slippery, but you'll still want to put a case on it. The single speaker is on the bottom, along with the USB-C port and standard headphone jack. On the left side, you'll find OnePlus's excellent physical mute slider. The front of the phone is mostly screen."
OnePlus 5T,Physical Design,"The screen is why the OnePlus 5T exists. According to OnePlus execs, they saw the trend towards bigger screens and smaller bezels, so when a 6-inch, 18:9 Samsung AMOLED panel became available, they jumped at the chance to grab it. The 2160-by-1080 panel is 401ppi, which is less dense than other competing phones. They tend to be either higher-resolution, at the same size, or smaller in size, at the same resolution. The result is that icons and UX elements appear physically larger here than on a Galaxy S8 or Moto X4, although you get about the same Web browsing real estate as on the S8, because the physical size of text is the same. The one place you lose is in VR, where the OnePlus 5T isn't compatible with VR headsets, but OnePlus makes the correct point that VR isn't that frequently used nowadays."
OnePlus 5T,Physical Design,"The phone has the brightness, rich colors and wide viewing angles we associate with Samsung AMOLED, as opposed to the lower-quality LG P-OLED we've seen on the Google Pixel 2 XL. If that's too saturated for you, though, you can tune it down to DCI-P3 (like the iPhone) or sRGB (like the Pixel.) Screen images are perfectly viewable outdoors."
OnePlus 5T,Physical Design,"The phone's fingerprint scanner is on the back now, like on LG phones. It's quick and works reliably. That's good, because the phone's face-unlock feature does not work reliably. OnePlus says that it created a proprietary, 2D face-unlock system that is faster and more secure than Google's default face unlock. I found that it didn't work very well off-angle (on a table), or with my eyes closed, or when I was backlit, or sometimes just in general. Most of the time it worked, but it didn't work enough that (unlike with Apple's Face ID) it got on my nerves. Having the fingerprint scanner as a reliable backup was essential."
OnePlus 5T,Physical Design,"Cases are important for phones. Many smaller Android brands, such as ZTE, don't have a broad set of reliable cases. That's a OnePlus strength: the company offers $19.95 screen protectors and $19.95-$29.95 cases in various styles, including silicone, carbon-fiber, and natural woods."
OnePlus 5T,Physical Design,"Unfortunately, the OnePlus 5T is not IP-rated for water resistance. I got very mixed messages on water resistance from OnePlus; I was told that it could be dropped in puddles or handled in the rain, but not dunked. We did not test water resistance because we needed the phone to remain functioning."
OnePlus 5T,Modem and Audio Quality,"OnePlus, unfortunately, cut some corners with the cellular modem. The 5T supports all of AT&T's and T-Mobile's frequency bands except T-Mobile's new rural Band 71. It also supports some Sprint and Verizon LTE bands (including Sprint's band 41, but not Verizon's band 13), but those carriers won't authenticate this phone."
OnePlus 5T,Modem and Audio Quality,"The phone supports 3x carrier aggregation but lacks 4x4 MIMO antennas, so it tops out at 600Mbps down. That's similar to the latest iPhones and most midrange phones, but outpaced by higher-end Android phones."
OnePlus 5T,Modem and Audio Quality,"The phone takes up to two nano-SIMs, but I was disappointed to see that the second slot couldn't be used for a MicroSD card. Dual SIM phones are rare here in the states, but additional storage would have been welcome."
OnePlus 5T,Modem and Audio Quality,"Call quality is good here, but voice coverage will depend on your carrier. The phone supports both Wi-Fi and VoLTE on T-Mobile. Neither option appeared with AT&T or Cricket SIMs. Using the AT&T 3G network, the earpiece was loud, and the speakerphone was sharp and clear. The speakerphone mix doesn't kill all the background noise, but my voice was nicely detected and pushed far forward of any background noise."
OnePlus 5T,Modem and Audio Quality,"The 5T supports Bluetooth 5.0 and had no trouble pairing with my Plantronics Voyager Focus UC. If you play high-quality music files, though, make sure to delve into the settings and switch the codec from SBC to the higher-quality AptX HD. The single speaker isn't amazing, but at least it doesn't distort at high volumes the way the Moto X4's does."
OnePlus 5T,Modem and Audio Quality,"Battery life was very good, at 7 hours, 10 minutes of LTE video streaming with the screen on full brightness. Unfortunately, that's two hours less than the OnePlus 5's runtime (9 hours, 15 minutes), likely due to the increased screen size. It'll still last longer than the S8 though (5 hours, 45 minutes). OnePlus's quick ""Dash Charging"" lives up to its billing, too. I got from 0 to 40% in 20 minutes, and to 79% in 45 minutes, with the phone off. If you have other phones around, be aware that OnePlus's dash charger, included with the phone, is just an ordinary non-quick charger when used with other phones, and non-OnePlus chargers won't quick-charge the phone."
OnePlus 5T,Modem and Audio Quality,"The phone also doesn't have wireless charging, but honestly, after six months of using a Galaxy S8 with wireless charging, I still see it as a disposable frill. I'm okay with leaving it out on this midrange phone."
OnePlus 5T,Oxygen OS and Performance,"OnePlus's Oxygen OS skin over Android 7.1.1 Nougat focuses on speed and customizability. (The company says that an Android Oreo update will come during the first quarter of 2018.) Its benchmarks tend to match other Qualcomm Snapdragon 835 phones, especially if they're in 1080P resolution mode: its 169,703 score on Antutu, for instance, it very similar to the Moto Z2 Force and the Google Pixel 2, and just a bit behind the Galaxy Note 8 and LG V30."
OnePlus 5T,Oxygen OS and Performance,"On-screen gaming frame rates are also on par with high-end peers at the same resolution. The Galaxy Note 8 only scores 13 fps in the GFXBench Car Crash test, compared to the OnePlus's 23 fps, but knock the Note 8 down to 1080p and it's on par."
OnePlus 5T,Oxygen OS and Performance,"The thing is, though, this is the least expensive Snapdragon 835 phone out there. At its price level, the OnePlus 5T is competing with the Moto X4 and HTC U11 Life, both of which manage around 70,000 on Antutu, and the LG G6, which gets 135,000. The OnePlus 5T's GPU has at least double the performance of any of those phones, which you definitely feel in action and driving games; the game Breakneck, for instance, had more sensitive controls on the OnePlus 5T than on the Moto X4. So you're getting a heck of a lot of processor for your money."
OnePlus 5T,Oxygen OS and Performance,"The same goes for RAM. The 5T comes in two models, with 6GB and 8GB of RAM, and 64GB or 128GB of storage. That means more flipping in and out of apps without watching them restart than on other phones, which is especially relevant if you do a lot of gaming. Our 128GB test phone has 111GB free."
OnePlus 5T,Oxygen OS and Performance,"Oxygen OS, itself, doesn't get in your way. It looks and feels like stock Android, with a bunch of little customizations that you can use or ignore. The most useful is ""parallel apps,"" which lets you create a second, virtual installation of some popular apps so you can have two accounts available. It works with Facebook, Instagram, LinkedIn, Facebook Messenger, Twitter, Skype, and Whatsapp."
OnePlus 5T,Oxygen OS and Performance,"OnePlus has a vibrant user community, a vigorous beta program, and an invasive data collection system telling the company what people are doing with their phones. After some controversy, the ""user experience program"" is still opt-in, although you can opt out in the Settings menu."
OnePlus 5T,Oxygen OS and Performance,"And if you don't like Oxygen OS at all, OnePlus is probably the most hacker-friendly mainstream Android brand; the company confirmed that the phone's bootloader is unlocked, and you can install whatever ROM you like."
OnePlus 5T,Cameras,"OnePlus does some odd things with the cameras this time around. On the back of the phone, there's a main 16-megapixel, f/1.7 camera but also a 20-megapixel, f/1.7 camera that's supposed to be for low light. The front camera is an excellent 16-megapixel, f/2 selfie shooter."
OnePlus 5T,Cameras,"The philosophy around the camera is a little perplexing. The secondary camera is supposed to kick in for scenes below 10 lux, using 4:1 pixel binning to provide a brighter, 5-megapixel image. That's totally not what it does in practice."
OnePlus 5T,Cameras,"First of all, 10 lux is really dim. Indoor scenes are far more than 10 lux; even a darkened bowling alley, where we tested the camera, was at about 30 lux. So it can be hard to get the secondary camera to trigger in the first place, especially because you can't turn it on manually."
OnePlus 5T,Cameras,"The secondary camera also delivers 20MP files. OnePlus says it bins the image down to 5MP and then re-expands the file to 20MP, which introduces a lot of visible artifacting. And because of software which prioritizes higher shutter speeds over viewable images, the photos can still look very dim, especially compared to the latest Galaxies or the Pixel 2."
OnePlus 5T,Cameras,"Here's where ""what you're comparing it with"" matters a lot. Against the $649 Pixel 2 and $720 Galaxy S8 the 5T has unimpressive low light performance. But the 5T crushes the $400 Moto X4 in low light. In our super-low-light test, we could make out details in the 5T's image that were swallowed up in dimness on the X4."
OnePlus 5T,Cameras,"In good light, the main camera also falls between the Moto X4 and the Galaxy S8/Note 8. Yes, there are more pixels than on the 12-megapixel Samsung phones, but that didn't result in more sharpness and detail, just more artifacting. The software bias towards higher shutter speeds didn't necessarily help here either, as some outdoor HDR photos turned out a little darker than I'd like."
OnePlus 5T,Cameras,"The 16-megapixel, f/2.0 front camera destroys the X4's front shooter. It delivers richer color, more realistic detail, and collects considerably more light. It takes flashless, low-light shots in darkened rooms that just get swallowed up in mud on the X4."
OnePlus 5T,Cameras,"The dual cameras enable the usual gimmicky bokeh 'portrait mode' in its most basic form, without the after-the-fact focus editing of the Galaxy Note 8 or the iPhone's range of lighting effects. Using the second camera slot for the 'low light' camera also means you don't get wide-angle (like on the X4 and LG G6) or 2x zoom (like on the Note 8 and iPhone) options. There's a confusing '2X' button in the camera UI, but it just activates digital zoom, with all the usual digital zoom artifacting."
OnePlus 5T,Cameras,"OnePlus's ""electronic image stabilization"" stays with the theme of ""not as good as a flagship, but better than nothing."" When recording 4K video, you can see the EIS smoothing out video through a slight pulsing as it constantly corrects the video. It's nowhere near as smooth, calm or fluid as the OIS on a Galaxy Note 8, but it's less jittery than no stabilization at all."
OnePlus 5T,Cameras,"None of this should be too shocking; it's just reality. There are no shortcuts. The OnePlus 5T has the best camera you can get in a $500 phone, but it doesn't measure up to phones that cost more."
OnePlus 5T,Comparisons and Conclusions,"There's an 'uncanny valley' in phone pricing in the US. We buy a lot of phones that cost less than $400, but if we're going to spend $500, pretty often we spend $700, especially if that $700 phone comes with a monthly payment plan."
OnePlus 5T,Comparisons and Conclusions,"The OnePlus 5T falls smack into that uncanny valley. If you're looking for a big screen at a reasonable price, there's nothing quite like it. But OnePlus's price creep has made its phones steadily less attractive compared with higher-end competitors. The OnePlus One cost $299. The OnePlus 3 cost $399; the OnePlus 5 cost $479, and now we're up to $499 and $559."
OnePlus 5T,Comparisons and Conclusions,"The $649 Google Pixel 2 and the $720 Samsung Galaxy S8 both have better cameras and modems (although they offer less storage and RAM), and they support all four major US carriers. If you intend to spend more than the $400 for a Moto X4, you're likely to be picking up one of those on a monthly payment plan from a carrier or major retailer. There's no payment plan for the OnePlus 5T; you have to buy it up front."
OnePlus 5T,Comparisons and Conclusions,"The 5T sets the bar for a $500 phone, to be sure. There's no $500 phone that performs like this. But not many Americans are looking for a $500 phone, per se. Unless the screen size here calls out to you, the superior camera and network performance on the Pixel 2 or Galaxy S8 will probably do you better."
OnePlus 6,Introduction,"The OnePlus 6 grows on you. At first we were a little turned off by its $529 starting price, but the cult smartphone maker's latest device won us over with its elegant software, a combination of Google apps and quiet, thoughtful additions. A top-of-the-line Qualcomm Snapdragon 845 processor and excellent camera performance sweeten the deal. The OnePlus 6 is definitely the best $500-ish unlocked phone on the market. The problem is, few people in the US are really shopping for an unlocked phone in the $500 range."
OnePlus 6,Pricing,"The phone comes in three models. For $529, you get 64GB of storage and 6GB of RAM in midnight black (which has a more matte effect), mirror black (which has a glossy finish), or white. For $579, it's 128GB of storage and 8GB of RAM in all three colors. For $629, it's 256GB of storage and 8GB of RAM, in midnight black only. We reviewed the $579 model in mirror black."
OnePlus 6,Pricing,"That's definitely good value for the money. But Americans who pay more than $400 for phones tend to use monthly payment plans, and OnePlus doesn't offer one. T-Mobile's Samsung Galaxy S9 isn't really $720 for most people: It's $30 per month. That means many people won't see OnePlus 6, in their day to day, as cheaper than the Galaxy S9 or the LG G7."
OnePlus 6,Shut Up About the Notch,"We have one complaint about the OnePlus 6's otherwise excellent body: It's a little too wide. In an era of 18:9 and 18.5:9 phones that make six-inch screens comfortable to use with just one hand, OnePlus has gone with a 6.28-inch, 19:9, 2,280-by-1,080 design, making its phone 2.96 inches wide. That's noticeably wider than the Samsung Galaxy S9 (2.70 inches) and the LG G7 (2.83 inches), and you can feel it in the OnePlus 6 being harder to hold and use with one hand."
OnePlus 6,Shut Up About the Notch,"The OnePlus 6's most controversial feature is obvious when you turn it on: Its screen has a notch. That has driven some OnePlus fans absolutely insane on social media—not really around the functionality of the screen, but cultural anger that their phones may be tainted with an idea associated with Apple. They should get over it. The notch at the top of the screen isn't a problem, because of OnePlus' smart software choices. Within a few seconds, we had turned the notch into a dedicated status bar rather than having content flowing into it, and that approach looks great."
OnePlus 6,Shut Up About the Notch,"The phone has Gorilla Glass 5 on its front and back. We tested the glossy black model, which definitely picks up more fingerprints than the matte black one. OnePlus is also doing its usual excellent lineup of cases, including wood, fabric, and carbon fiber options."
OnePlus 6,Shut Up About the Notch,"Otherwise, the body is all rounded edges, no sharp corners. It doesn't come to a point on the sides the way the latest Galaxy phones do, and OnePlus is still using a flat rather than a curved screen. But the package shape, while somewhat generic, is elegant."
OnePlus 6,Shut Up About the Notch,"The AMOLED screen is terrific. Yes, it isn't as dense as a quad-HD screen, but that's hard to tell unless you're comparing it side-by-side with a sharper display. The brightness and color saturation here really jump out at you."
OnePlus 6,Shut Up About the Notch,"The phone still has the OnePlus mute slider, which has always been great, as well as a regular headphone jack. The single, bottom-ported speaker is fine, but easy to cover with your hand. The body is weather-resistant, but not waterproof. It has a 3,300mAh battery with OnePlus' Dash Charging feature for fast charging. It lasted for 5 hours, 49 minutes of LTE video playback in our battery rundown test. That's fine, but falls short of the LG G7 (6+ hours) and the Samsung Galaxy S9 (9+ hours)."
OnePlus 6,Shut Up About the Notch,"There's no microSD card slot in the OnePlus 6, so you get your 64GB, 128GB, or 256GB of internal storage and that's it. The 128GB model ships with 116GB available."
OnePlus 6,Networking and Call Quality,"The OnePlus 6 has excellent call quality. Both the earpiece and speakerphone are louder than we expected, and noise cancellation through the microphone is excellent. The phone supports HD calling, as well as the new EVS codec for the best possible calls on T-Mobile. Voice-over-IP and voice-over-WiFi are supported for T-Mobile, but not AT&T. (AT&T uses its 3G network to make calls.) The bottom-ported speakerphone is highly directional, and maybe a little too easy to cover with your hand, but it's a pretty common placement. The physical lock switch on the side flips between ring, vibrate, and silent, a nice touch."
OnePlus 6,Networking and Call Quality,"Networking options are good but don't quite match up to the leaders. The OnePlus 6 has dual-band 802.11ac Wi-Fi. Tested against a Samsung Galaxy S9+ on a 150Mbps connection, we found the OnePlus 6 got consistently slightly lower speeds than the S9+ at various distances from the router, but slightly greater range. The phone has Bluetooth 5.0 with aptX for lossless music playback."
OnePlus 6,Networking and Call Quality,"The state-of-the-art Qualcomm X20 modem here isn't being used to its maximum capacity, but it's still great. It has all of the frequency bands that AT&T and T-Mobile use, except LAA, which boosts speeds in certain very crowded urban locations. With 256QAM encoding and 4x4 MIMO, it is gigabit LTE capable. Even though it supports many of their LTE and CDMA bands, the phone does not work on Verizon or Sprint. We put some Verizon and Sprint SIM cards in the phone, and they wouldn't connect."
OnePlus 6,Networking and Call Quality,"The OnePlus 6 is a relatively rare dual-SIM phone in the US. Only about four percent of US phones can take two SIM cards, and the feature is useful for international travelers and for folks who want to keep business and personal lines on the same device."
OnePlus 6,Networking and Call Quality,"We loaded two T-Mobile SIMs into the phone and found that we could make calls on, and send and receive texts from both SIMs easily. A toggle in settings let us pick the SIM used for LTE data."
OnePlus 6,Processor and Software,"The phone is based on the Qualcomm Snapdragon 845 processor and runs Android 8.1 with OnePlus' Oxygen OS overlay, a very well-designed, spare skin that adds some useful features without much visual guff. The Android P beta is already available for the OnePlus 6."
OnePlus 6,Processor and Software,"Pairing a 1080p screen with the 845 processor makes the phone feel very, very fast. Its PCMark Work score of 8484 is the highest we've seen so far—only the Sony Xperia XZ2, which combines a similar screen resolution and processor, comes close (8306). Graphics benchmarks tell the same story, with 33fps on the GFXBench Car Chase benchmark, matching the Sony and outpacing everyone else. You may lose a little screen sharpness here over devices like the Galaxy S9, but you gain performance."
